,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20,Light21,Light22,Light23,Light24,Light25,Light26,Light27,Light28,Light29,Light30,Light31,Light32,Light33,Light34,Light35,Light36,Light37,Light38,Light39,Light40,Light41,Light42,Light43,Light44,Light45,Light46,Light47,Light48,Light49,Light50,Light51,Light52,Light53,Light54,Light55,Light56,Light57,Light58,Light59,Light60,Light61,Light62,Light63,Light64,Light65,Light66,Light67,Light68,Light69,Light70,Light71,Light72,Light73,Light74,Light75,Light76,Light77,Light78,Light79,Light80
Sensor1,0.004422865461675561,0.026257350875214858,0.029141132788756536,0.005421489081049948,0.00018865483771118635,4.124385176429825e-05,1.1961559280826716e-05,3.27588108087646e-07,0.01378326810405228,0.26510407495483407,0.26270231383673415,0.026257350875214858,0.0008834456297144267,5.994297191524584e-05,-8.407945987743739e-07,6.921934816354279e-06,0.011739489865628575,0.10351613881474958,0.2156190443021799,0.014916666288941123,0.0007849031028991264,5.575696111512999e-05,-3.9752781831484343e-07,6.789471248104087e-06,0.0014552076319918445,0.010816129366053853,0.011739489865628575,0.0035770256584132997,0.00015140231812556642,-1.2568958974948352e-05,1.1145904278700435e-05,6.419575561375089e-07,0.00014592428534702237,0.0006945115175493635,0.0007387403581916789,0.000162948484249412,4.991993135792241e-05,-2.5763631721186717e-06,8.377004220273404e-06,1.6736533956097142e-06,-8.112832645414171e-06,3.734431197258925e-05,3.8871510689172314e-05,-9.399687532999577e-06,-5.063155229159417e-07,8.689981477631362e-06,1.116813519309583e-06,2.6434107413614902e-06,9.67817114534851e-06,1.1210869782896007e-05,1.1342388284750551e-05,1.000481497746797e-05,7.4514044878246325e-06,1.2369071068684242e-06,2.509611789894759e-06,6.1852407645428225e-06,1.3134758673387156e-06,7.632490716405028e-07,7.153848740597187e-07,1.1975874172976605e-06,2.07232644917364e-06,2.7207687051105134e-06,6.086005927613088e-06,4.487074681715662e-06,7.409796059353139e-06,2.7328169477336543e-06,2.7207687051105134e-06,2.8411600784694505e-06,6.426241491976631e-06,5.2893574102659124e-06,4.1889912626939714e-06,3.2334957645035843e-06,4.658922524804184e-06,4.959472987032891e-06,4.983761090359143e-06,4.725860396480221e-06,4.151453905333215e-06,3.537395390217566e-06,4.040448985386517e-06,3.091637381204628e-06
Sensor2,4.124385176429825e-05,0.00018865483771118635,0.004422865461675561,0.026257350875214858,0.026257350875214858,0.004422865461675561,0.00018865483771118635,4.124385176429825e-05,5.994297191524584e-05,0.0008834456297144267,0.01378326810405228,0.26510407495483407,0.26510407495483407,0.01378326810405228,0.0008834456297144267,5.994297191524584e-05,5.575696111512999e-05,0.0007849031028991264,0.011739489865628575,0.10351613881474958,0.10351613881474958,0.011739489865628575,0.0007849031028991264,5.575696111512999e-05,-1.2568958974948352e-05,0.00015140231812556642,0.0014552076319918445,0.010816129366053853,0.010816129366053853,0.0014552076319918445,0.00015140231812556642,-1.2568958974948352e-05,-2.5763631721186717e-06,4.991993135792241e-05,0.00014592428534702237,0.0006945115175493635,0.0006945115175493635,0.00014592428534702237,4.991993135792241e-05,-2.5763631721186717e-06,8.689981477631362e-06,-5.063155229159417e-07,-8.112832645414171e-06,3.734431197258925e-05,3.734431197258925e-05,-8.112832645414171e-06,-5.063155229159417e-07,8.689981477631362e-06,1.2369071068684242e-06,7.4514044878246325e-06,9.67817114534851e-06,1.1210869782896007e-05,1.1210869782896007e-05,9.67817114534851e-06,7.4514044878246325e-06,1.2369071068684242e-06,2.7207687051105134e-06,2.07232644917364e-06,1.3134758673387156e-06,7.632490716405028e-07,7.632490716405028e-07,1.3134758673387156e-06,2.07232644917364e-06,2.7207687051105134e-06,5.2893574102659124e-06,6.426241491976631e-06,7.409796059353139e-06,2.7328169477336543e-06,2.7328169477336543e-06,7.409796059353139e-06,6.426241491976631e-06,5.2893574102659124e-06,3.537395390217566e-06,4.151453905333215e-06,4.658922524804184e-06,4.959472987032891e-06,4.959472987032891e-06,4.658922524804184e-06,4.151453905333215e-06,3.537395390217566e-06
Sensor3,6.232893372938852e-07,1.1325831593724604e-05,-1.3874073223879545e-05,0.00017137243632629816,0.0049148705205839995,0.02779000600084386,0.02779000600084386,0.0049148705205839995,7.587418764478746e-08,1.2764552954298777e-05,5.253212617015769e-05,0.000755819413274556,0.01556536032809619,0.29671367355646217,0.29671367355646217,0.01556536032809619,1.934248539650955e-07,1.2457229317275443e-05,4.8766437996276564e-05,0.00022971408185179038,0.013289848572730162,0.19581880540537244,0.19581880540537244,0.013289848572730162,9.074115713143984e-07,1.0569015553073903e-05,-1.0733227993888741e-05,0.0001374154570823421,0.003212339519344939,0.011308717775707336,0.011308717775707336,0.003212339519344939,1.8406492656537069e-06,7.986743737747329e-06,-1.6400805222417132e-06,4.5211211094849105e-05,0.00015445000798062944,0.0007182346732478828,0.0007182346732478828,0.00015445000798062944,2.716190238053325e-06,1.2993261963451756e-06,8.366115457546106e-06,1.2843033960105148e-05,-8.761363423784196e-06,3.816626068851879e-05,3.816626068851879e-05,-8.761363423784196e-06,6.001082710905011e-06,2.581182089686847e-06,1.3737111713548016e-06,7.259974582229136e-06,9.844155526468719e-06,1.12818442986965e-05,1.12818442986965e-05,9.844155526468719e-06,4.371754018232257e-06,5.937542865397866e-06,2.763352630515862e-06,2.1340926290604026e-06,1.254695808011468e-06,7.374292875737151e-07,7.374292875737151e-07,1.254695808011468e-06,3.1619355670811167e-06,4.102929827723748e-06,5.194206689720601e-06,6.334274680855682e-06,2.8552326938760774e-06,2.7263197581008265e-06,2.7263197581008265e-06,2.8552326938760774e-06,3.0194216387045245e-06,3.956170639405502e-06,3.4845186060007346e-06,4.102929827723748e-06,4.6931461765894526e-06,4.972607425767183e-06,4.972607425767183e-06,4.6931461765894526e-06
Sensor4,0.00017641335653098748,0.0009450464345663062,0.0010004468450547498,0.00019688188433056108,6.030310030977835e-05,-4.066545607039069e-06,8.844695655560363e-06,1.5048199440001028e-06,0.003620519999701482,0.013966644171769675,0.01511355943046646,0.004474039522533665,0.00017006944353833194,3.684461596017458e-05,1.1566395868613244e-05,4.802824591878471e-07,0.012897623755843218,0.22322045110943903,0.274398928830301,0.02402584051164612,0.0008413405174548874,5.8168749106416786e-05,-6.534543570927973e-07,6.8663161893914884e-06,0.012897623755843218,0.22322045110943903,0.274398928830301,0.02402584051164612,0.0008413405174548874,5.8168749106416786e-05,-6.534543570927973e-07,6.8663161893914884e-06,0.003620519999701482,0.013966644171769675,0.01511355943046646,0.004474039522533665,0.00017006944353833194,3.684461596017458e-05,1.1566395868613244e-05,4.802824591878471e-07,0.00014592428534702237,0.0006945115175493635,0.0007387403581916789,0.000162948484249412,4.991993135792241e-05,-2.5763631721186717e-06,8.377004220273404e-06,1.6736533956097142e-06,-1.153385157260873e-05,4.991993135792241e-05,5.180935955034715e-05,-1.3108111706388265e-05,-2.309585258192233e-06,9.417130500410449e-06,7.868610561678252e-07,2.533502037654203e-06,1.0766880562672896e-05,1.2552149177444744e-05,1.2706130569745315e-05,1.1145904278700435e-05,8.205095227979716e-06,8.334547289028839e-07,2.341966058088327e-06,6.515665473298331e-06,8.334547289028839e-07,1.5714795678968985e-07,9.82415913339279e-08,6.911286230915007e-07,1.7647960299288406e-06,2.564336703281249e-06,6.479677684170004e-06,4.73715373171013e-06,2.7268219641714314e-06,2.5490629763565905e-06,2.533502037654203e-06,2.6896118647956065e-06,6.931701924210261e-06,5.667177827412821e-06,4.455890338158947e-06,3.415214070287654e-06
Sensor5,-4.066545607039069e-06,6.030310030977835e-05,0.00017641335653098748,0.0009450464345663062,0.0009450464345663062,0.00017641335653098748,6.030310030977835e-05,-4.066545607039069e-06,3.684461596017458e-05,0.00017006944353833194,0.003620519999701482,0.013966644171769675,0.013966644171769675,0.003620519999701482,0.00017006944353833194,3.684461596017458e-05,5.8168749106416786e-05,0.0008413405174548874,0.012897623755843218,0.22322045110943903,0.22322045110943903,0.012897623755843218,0.0008413405174548874,5.8168749106416786e-05,5.8168749106416786e-05,0.0008413405174548874,0.012897623755843218,0.22322045110943903,0.22322045110943903,0.012897623755843218,0.0008413405174548874,5.8168749106416786e-05,3.684461596017458e-05,0.00017006944353833194,0.003620519999701482,0.013966644171769675,0.013966644171769675,0.003620519999701482,0.00017006944353833194,3.684461596017458e-05,-2.5763631721186717e-06,4.991993135792241e-05,0.00014592428534702237,0.0006945115175493635,0.0006945115175493635,0.00014592428534702237,4.991993135792241e-05,-2.5763631721186717e-06,9.417130500410449e-06,-2.309585258192233e-06,-1.153385157260873e-05,4.991993135792241e-05,4.991993135792241e-05,-1.153385157260873e-05,-2.309585258192233e-06,9.417130500410449e-06,8.334547289028839e-07,8.205095227979716e-06,1.0766880562672896e-05,1.2552149177444744e-05,1.2552149177444744e-05,1.0766880562672896e-05,8.205095227979716e-06,8.334547289028839e-07,2.564336703281249e-06,1.7647960299288406e-06,8.334547289028839e-07,1.5714795678968985e-07,1.5714795678968985e-07,8.334547289028839e-07,1.7647960299288406e-06,2.564336703281249e-06,5.667177827412821e-06,6.931701924210261e-06,2.7268219641714314e-06,2.5490629763565905e-06,2.5490629763565905e-06,2.7268219641714314e-06,6.931701924210261e-06,5.667177827412821e-06
Sensor6,1.6878947694026335e-06,8.4244149403563e-06,-3.000936866409393e-06,5.4831843086455084e-05,0.00018665241429536276,0.0009747478749267092,0.0009747478749267092,0.00018665241429536276,7.612718309599438e-07,1.095938207519533e-05,-1.2326737867188775e-05,0.00015445000798062944,0.0040417734172049835,0.014577728072942397,0.014577728072942397,0.0040417734172049835,1.2537323928020068e-07,1.26352306797183e-05,5.093658474424453e-05,0.0007182346732478828,0.014577728072942397,0.24963509813117674,0.24963509813117674,0.014577728072942397,1.2537323928020068e-07,1.26352306797183e-05,5.093658474424453e-05,0.0007182346732478828,0.014577728072942397,0.24963509813117674,0.24963509813117674,0.014577728072942397,7.612718309599438e-07,1.095938207519533e-05,-1.2326737867188775e-05,0.00015445000798062944,0.0040417734172049835,0.014577728072942397,0.014577728072942397,0.0040417734172049835,1.8406492656537069e-06,7.986743737747329e-06,-1.6400805222417132e-06,4.5211211094849105e-05,0.00015445000798062944,0.0007182346732478828,0.0007182346732478828,0.00015445000798062944,2.6173681204665547e-06,9.95532135525769e-07,9.055602058549891e-06,-1.6400805222417132e-06,-1.2326737867188775e-05,5.093658474424453e-05,5.093658474424453e-05,-1.2326737867188775e-05,6.316976704146278e-06,2.4272327891000236e-06,9.95532135525769e-07,7.986743737747329e-06,1.095938207519533e-05,1.26352306797183e-05,1.26352306797183e-05,1.095938207519533e-05,4.612346327669094e-06,6.316976704146278e-06,2.6173681204665547e-06,1.8406492656537069e-06,7.612718309599438e-07,1.2537323928020068e-07,1.2537323928020068e-07,7.612718309599438e-07,3.3377263081083037e-06,4.361714260633028e-06,5.561928253991742e-06,6.828944752560203e-06,2.7079685423055724e-06,2.540670084929217e-06,2.540670084929217e-06,2.7079685423055724e-06
Sensor7,2.7268219641714314e-06,2.5490629763565905e-06,2.533502037654203e-06,2.6896118647956065e-06,6.931701924210261e-06,5.667177827412821e-06,4.455890338158947e-06,3.415214070287654e-06,8.334547289028839e-07,1.5714795678968985e-07,9.82415913339279e-08,6.911286230915007e-07,1.7647960299288406e-06,2.564336703281249e-06,6.479677684170004e-06,4.73715373171013e-06,1.0766880562672896e-05,1.2552149177444744e-05,1.2706130569745315e-05,1.1145904278700435e-05,8.205095227979716e-06,8.334547289028839e-07,2.341966058088327e-06,6.515665473298331e-06,-1.153385157260873e-05,4.991993135792241e-05,5.180935955034715e-05,-1.3108111706388265e-05,-2.309585258192233e-06,9.417130500410449e-06,7.868610561678252e-07,2.533502037654203e-06,0.00014592428534702237,0.0006945115175493635,0.0007387403581916789,0.000162948484249412,4.991993135792241e-05,-2.5763631721186717e-06,8.377004220273404e-06,1.6736533956097142e-06,0.003620519999701482,0.013966644171769675,0.01511355943046646,0.004474039522533665,0.00017006944353833194,3.684461596017458e-05,1.1566395868613244e-05,4.802824591878471e-07,0.012897623755843218,0.22322045110943903,0.274398928830301,0.02402584051164612,0.0008413405174548874,5.8168749106416786e-05,-6.534543570927973e-07,6.8663161893914884e-06,0.012897623755843218,0.22322045110943903,0.274398928830301,0.02402584051164612,0.0008413405174548874,5.8168749106416786e-05,-6.534543570927973e-07,6.8663161893914884e-06,0.003620519999701482,0.013966644171769675,0.01511355943046646,0.004474039522533665,0.00017006944353833194,3.684461596017458e-05,1.1566395868613244e-05,4.802824591878471e-07,0.00017641335653098748,0.0009450464345663062,0.0010004468450547498,0.00019688188433056108,6.030310030977835e-05,-4.066545607039069e-06,8.844695655560363e-06,1.5048199440001028e-06
Sensor8,5.667177827412821e-06,6.931701924210261e-06,2.7268219641714314e-06,2.5490629763565905e-06,2.5490629763565905e-06,2.7268219641714314e-06,6.931701924210261e-06,5.667177827412821e-06,2.564336703281249e-06,1.7647960299288406e-06,8.334547289028839e-07,1.5714795678968985e-07,1.5714795678968985e-07,8.334547289028839e-07,1.7647960299288406e-06,2.564336703281249e-06,8.334547289028839e-07,8.205095227979716e-06,1.0766880562672896e-05,1.2552149177444744e-05,1.2552149177444744e-05,1.0766880562672896e-05,8.205095227979716e-06,8.334547289028839e-07,9.417130500410449e-06,-2.309585258192233e-06,-1.153385157260873e-05,4.991993135792241e-05,4.991993135792241e-05,-1.153385157260873e-05,-2.309585258192233e-06,9.417130500410449e-06,-2.5763631721186717e-06,4.991993135792241e-05,0.00014592428534702237,0.0006945115175493635,0.0006945115175493635,0.00014592428534702237,4.991993135792241e-05,-2.5763631721186717e-06,3.684461596017458e-05,0.00017006944353833194,0.003620519999701482,0.013966644171769675,0.013966644171769675,0.003620519999701482,0.00017006944353833194,3.684461596017458e-05,5.8168749106416786e-05,0.0008413405174548874,0.012897623755843218,0.22322045110943903,0.22322045110943903,0.012897623755843218,0.0008413405174548874,5.8168749106416786e-05,5.8168749106416786e-05,0.0008413405174548874,0.012897623755843218,0.22322045110943903,0.22322045110943903,0.012897623755843218,0.0008413405174548874,5.8168749106416786e-05,3.684461596017458e-05,0.00017006944353833194,0.003620519999701482,0.013966644171769675,0.013966644171769675,0.003620519999701482,0.00017006944353833194,3.684461596017458e-05,-4.066545607039069e-06,6.030310030977835e-05,0.00017641335653098748,0.0009450464345663062,0.0009450464345663062,0.00017641335653098748,6.030310030977835e-05,-4.066545607039069e-06
Sensor9,3.3377263081083037e-06,4.361714260633028e-06,5.561928253991742e-06,6.828944752560203e-06,2.7079685423055724e-06,2.540670084929217e-06,2.540670084929217e-06,2.7079685423055724e-06,4.612346327669094e-06,6.316976704146278e-06,2.6173681204665547e-06,1.8406492656537069e-06,7.612718309599438e-07,1.2537323928020068e-07,1.2537323928020068e-07,7.612718309599438e-07,6.316976704146278e-06,2.4272327891000236e-06,9.95532135525769e-07,7.986743737747329e-06,1.095938207519533e-05,1.26352306797183e-05,1.26352306797183e-05,1.095938207519533e-05,2.6173681204665547e-06,9.95532135525769e-07,9.055602058549891e-06,-1.6400805222417132e-06,-1.2326737867188775e-05,5.093658474424453e-05,5.093658474424453e-05,-1.2326737867188775e-05,1.8406492656537069e-06,7.986743737747329e-06,-1.6400805222417132e-06,4.5211211094849105e-05,0.00015445000798062944,0.0007182346732478828,0.0007182346732478828,0.00015445000798062944,7.612718309599438e-07,1.095938207519533e-05,-1.2326737867188775e-05,0.00015445000798062944,0.0040417734172049835,0.014577728072942397,0.014577728072942397,0.0040417734172049835,1.2537323928020068e-07,1.26352306797183e-05,5.093658474424453e-05,0.0007182346732478828,0.014577728072942397,0.24963509813117674,0.24963509813117674,0.014577728072942397,1.2537323928020068e-07,1.26352306797183e-05,5.093658474424453e-05,0.0007182346732478828,0.014577728072942397,0.24963509813117674,0.24963509813117674,0.014577728072942397,7.612718309599438e-07,1.095938207519533e-05,-1.2326737867188775e-05,0.00015445000798062944,0.0040417734172049835,0.014577728072942397,0.014577728072942397,0.0040417734172049835,1.6878947694026335e-06,8.4244149403563e-06,-3.000936866409393e-06,5.4831843086455084e-05,0.00018665241429536276,0.0009747478749267092,0.0009747478749267092,0.00018665241429536276
Sensor10,4.658922524804184e-06,4.959472987032891e-06,4.983761090359143e-06,4.725860396480221e-06,4.151453905333215e-06,3.537395390217566e-06,4.040448985386517e-06,3.091637381204628e-06,7.409796059353139e-06,2.7328169477336543e-06,2.7207687051105134e-06,2.8411600784694505e-06,6.426241491976631e-06,5.2893574102659124e-06,4.1889912626939714e-06,3.2334957645035843e-06,1.3134758673387156e-06,7.632490716405028e-07,7.153848740597187e-07,1.1975874172976605e-06,2.07232644917364e-06,2.7207687051105134e-06,6.086005927613088e-06,4.487074681715662e-06,9.67817114534851e-06,1.1210869782896007e-05,1.1342388284750551e-05,1.000481497746797e-05,7.4514044878246325e-06,1.2369071068684242e-06,2.509611789894759e-06,6.1852407645428225e-06,-8.112832645414171e-06,3.734431197258925e-05,3.8871510689172314e-05,-9.399687532999577e-06,-5.063155229159417e-07,8.689981477631362e-06,1.116813519309583e-06,2.6434107413614902e-06,0.00014592428534702237,0.0006945115175493635,0.0007387403581916789,0.000162948484249412,4.991993135792241e-05,-2.5763631721186717e-06,8.377004220273404e-06,1.6736533956097142e-06,0.0014552076319918445,0.010816129366053853,0.011739489865628575,0.0035770256584132997,0.00015140231812556642,-1.2568958974948352e-05,1.1145904278700435e-05,6.419575561375089e-07,0.011739489865628575,0.10351613881474958,0.2156190443021799,0.014916666288941123,0.0007849031028991264,5.575696111512999e-05,-3.9752781831484343e-07,6.789471248104087e-06,0.01378326810405228,0.26510407495483407,0.26270231383673415,0.026257350875214858,0.0008834456297144267,5.994297191524584e-05,-8.407945987743739e-07,6.921934816354279e-06,0.004422865461675561,0.026257350875214858,0.029141132788756536,0.005421489081049948,0.00018865483771118635,4.124385176429825e-05,1.1961559280826716e-05,3.27588108087646e-07
