Step,Power,Sensor51,Sensor13,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
0,2400,266,266,200,200,200,200,200,200,200,200,200,200,200,200
0,2470,274,274,208,202,208,204,208,210,206,208,200,200,206,210
1,2470,274,274,208,202,208,204,208,210,206,208,200,200,206,210
1,2607,293,292,216,216,205,218,230,224,203,230,210,210,230,210
2,2607,293,292,216,216,205,218,230,224,203,230,210,210,230,210
2,2660,301,297,227,216,205,220,235,226,208,247,216,210,233,214
3,2660,301,297,227,216,205,220,235,226,208,247,216,210,233,214
3,2703,310,298,229,209,201,220,240,226,220,249,222,220,251,209
4,2703,310,298,229,209,201,220,240,226,220,249,222,220,251,209
4,2776,323,302,233,209,201,216,242,231,235,256,231,224,269,222
5,2776,323,302,233,209,201,216,242,231,235,256,231,224,269,222
5,2865,341,306,241,209,203,218,237,229,245,274,243,224,301,235
6,2865,341,306,241,209,203,218,237,229,245,274,243,224,301,235
6,2900,351,304,238,207,207,209,233,224,250,272,243,238,331,242
7,2900,351,304,238,207,207,209,233,224,250,272,243,238,331,242
7,2970,370,306,229,207,200,200,235,222,262,302,250,250,354,255
8,2970,370,306,229,207,200,200,235,222,262,302,250,250,354,255
8,3041,389,311,224,207,200,206,244,220,257,323,248,255,394,260
9,3041,389,311,224,207,200,206,244,220,257,323,248,255,394,260
9,3077,398,313,215,203,206,206,254,209,275,329,245,257,413,260
10,3077,398,313,215,203,206,206,254,209,275,329,245,257,413,260
10,3199,426,322,219,207,201,210,264,207,275,369,240,268,459,275
11,3199,426,322,219,207,201,210,264,207,275,369,240,268,459,275
11,3296,445,329,224,205,205,216,275,200,281,413,245,284,468,275
12,3298,445,330,224,207,205,216,275,200,281,413,245,284,468,275
12,3363,464,332,228,211,201,201,269,202,283,455,245,301,491,270
13,3363,464,332,228,211,201,201,269,202,283,455,245,301,491,270
13,3387,473,330,219,205,200,200,264,200,286,477,257,316,491,267
14,3387,473,330,219,205,200,200,264,200,286,477,257,316,491,267
14,3440,487,332,212,205,200,200,264,200,298,492,257,313,521,275
15,3447,487,333,219,205,200,200,264,200,298,492,257,313,521,275
15,3484,492,334,221,200,206,200,267,200,301,492,265,328,526,275
16,3479,492,334,219,205,200,200,264,200,301,492,265,328,526,275
16,3499,499,332,217,200,200,200,259,200,295,516,270,335,526,278
17,3499,499,332,217,200,200,200,259,200,295,516,270,335,526,278
17,3527,508,333,210,200,200,200,259,200,292,521,273,335,552,281
18,3499,499,332,217,200,200,200,259,200,295,516,270,335,526,278
18,3542,505,337,221,206,206,202,261,200,289,511,276,338,547,281
19,3499,499,332,217,200,200,200,259,200,295,516,270,335,526,278
19,3530,506,335,219,202,200,206,253,200,295,542,276,335,521,278
20,3499,499,332,217,200,200,200,259,200,295,516,270,335,526,278
20,3473,500,327,206,200,202,200,246,200,289,516,265,332,542,272
21,3473,500,327,206,200,202,200,246,200,289,516,265,332,542,272
21,3451,494,324,206,200,202,200,238,204,292,490,260,342,547,267
22,3446,493,324,206,200,202,200,238,204,292,490,260,342,542,267
22,3458,497,323,204,206,200,200,229,200,297,500,260,342,547,270
23,3458,497,323,204,206,200,200,229,200,297,500,260,342,547,270
23,3454,500,322,200,200,200,200,231,206,297,505,254,335,558,264
24,3454,500,322,200,200,200,200,231,206,297,505,254,335,558,264
24,3459,497,324,202,200,202,206,236,212,292,480,257,341,569,259
25,3454,500,322,200,200,200,200,231,206,297,505,254,335,558,264
25,3435,498,320,200,200,200,200,224,212,295,495,242,331,569,264
26,3435,498,320,200,200,200,200,224,212,295,495,242,331,569,264
26,3448,503,319,202,206,200,200,215,203,289,500,242,335,587,267
27,3448,503,319,202,206,200,200,215,203,289,500,242,335,587,267
27,3450,503,321,200,212,202,200,219,200,280,500,242,338,587,267
28,3448,503,319,202,206,200,200,215,203,289,500,242,335,587,267
28,3417,500,317,200,200,200,200,215,209,289,505,234,325,581,256
29,3417,500,317,200,200,200,200,215,209,289,505,234,325,581,256
29,3428,499,318,204,204,200,200,215,211,297,495,230,328,586,254
30,3417,500,317,200,200,200,200,215,209,289,505,234,325,581,256
30,3395,498,315,200,200,200,200,211,209,274,510,230,328,581,248
31,3395,498,315,200,200,200,200,211,209,274,510,230,328,581,248
31,3424,503,320,206,202,202,200,217,209,274,536,232,321,575,246
32,3395,498,315,200,200,200,200,211,209,274,510,230,328,581,248
32,3387,493,315,200,200,204,202,211,211,277,505,234,321,569,248
33,3395,498,315,200,200,200,200,211,209,274,510,230,328,581,248
33,3389,491,317,204,202,200,204,217,213,274,500,230,325,563,253
34,3395,498,315,200,200,200,200,211,209,274,510,230,328,581,248
34,3392,500,312,200,200,202,200,200,207,274,515,225,334,586,243
35,3392,500,312,200,200,202,200,200,207,274,515,225,334,586,243
35,3391,502,313,200,200,200,200,202,207,282,520,216,318,598,243
36,3391,502,313,200,200,200,200,202,207,282,520,216,318,598,243
36,3375,499,312,200,200,204,206,204,201,271,510,212,321,604,239
37,3375,499,312,200,200,204,206,204,201,271,510,212,321,604,239
37,3371,497,312,204,200,201,200,208,200,277,500,212,321,604,241
38,3377,499,312,204,200,201,206,204,201,271,510,212,321,604,239
38,3344,492,312,206,202,200,200,210,200,274,495,207,314,598,234
39,3379,499,313,206,202,200,206,204,201,271,510,212,321,604,239
39,3378,498,312,208,204,206,201,200,200,268,515,210,327,592,243
40,3379,499,313,206,202,200,206,204,201,271,510,212,321,604,239
40,3386,502,313,206,200,200,208,200,200,277,536,214,321,586,236
41,3379,499,313,206,202,200,206,204,201,271,510,212,321,604,239
41,3374,499,312,206,200,200,210,200,200,271,530,214,318,586,236
42,3374,499,312,206,200,200,210,200,200,271,530,214,318,586,236
42,3376,500,313,201,202,204,208,202,200,266,536,216,321,586,231
43,3374,499,312,206,200,200,210,200,200,271,530,214,318,586,236
43,3394,507,313,203,202,206,200,200,200,271,530,212,315,615,236
44,3374,499,312,206,200,200,210,200,200,271,530,214,318,586,236
44,3379,503,313,201,202,200,200,200,206,266,557,214,315,574,241
45,3374,499,312,206,200,200,210,200,200,271,530,214,318,586,236
45,3409,509,314,200,204,200,205,202,200,271,546,214,321,604,238
46,3374,499,312,206,200,200,210,200,200,271,530,214,318,586,236
46,3378,501,313,201,200,206,203,202,200,274,541,212,324,580,231
47,3374,499,312,206,200,200,210,200,200,271,530,214,318,586,236
47,3405,506,316,206,204,200,212,206,200,266,530,216,315,610,238
48,3374,499,312,206,200,200,210,200,200,271,530,214,318,586,236
48,3424,509,316,206,200,202,214,204,200,277,541,218,324,604,231
49,3374,499,312,206,200,200,210,200,200,271,530,214,318,586,236
49,3394,503,315,212,200,204,208,202,200,266,552,218,311,580,238
50,3374,499,312,206,200,200,210,200,200,271,530,214,318,586,236
50,3420,507,315,212,200,206,216,200,200,277,525,212,318,615,236
51,3374,499,312,206,200,200,210,200,200,271,530,214,318,586,236
51,3366,499,312,200,200,200,210,200,204,271,536,210,315,580,238
52,3366,499,312,200,200,200,210,200,204,271,536,210,315,580,238
52,3403,505,317,200,204,200,214,206,210,277,546,210,308,592,234
53,3366,499,312,200,200,200,210,200,204,271,536,210,315,580,238
53,3406,508,314,204,200,202,214,200,200,268,541,212,318,603,241
54,3366,499,312,200,200,200,210,200,204,271,536,210,315,580,238
54,3392,503,314,204,200,204,210,200,204,266,563,212,318,569,241
55,3366,499,312,200,200,200,210,200,204,271,536,210,315,580,238
55,3348,492,313,200,204,206,210,200,206,271,525,210,311,569,234
56,3366,499,312,200,200,200,210,200,204,271,536,210,315,580,238
56,3363,496,313,206,202,200,203,202,206,277,520,214,308,586,236
57,3366,499,312,200,200,200,210,200,204,271,536,210,315,580,238
57,3365,497,313,200,200,200,214,202,204,277,541,205,315,569,236
58,3366,499,312,200,200,200,210,200,204,271,536,210,315,580,238
58,3360,495,311,200,200,200,212,200,204,274,520,212,318,580,238
59,3366,499,312,200,200,200,210,200,204,271,536,210,315,580,238
59,3383,501,314,206,202,200,210,200,204,274,552,205,318,569,241
60,3366,499,312,200,200,200,210,200,204,271,536,210,315,580,238
60,3340,490,311,200,200,202,216,200,200,277,520,205,311,563,243
61,3366,499,312,200,200,200,210,200,204,271,536,210,315,580,238
61,3421,510,316,200,204,206,208,200,201,277,557,212,321,592,241
62,3366,499,312,200,200,200,210,200,204,271,536,210,315,580,238
62,3363,498,312,200,200,206,203,202,200,271,530,210,308,586,243
63,3363,498,312,200,200,206,203,202,200,271,530,210,308,586,243
63,3372,502,313,200,200,200,200,204,200,274,557,207,305,574,248
64,3363,498,312,200,200,206,203,202,200,271,530,210,308,586,243
64,3362,497,311,200,200,206,209,200,200,268,525,214,305,586,246
65,3363,498,312,200,200,206,203,202,200,271,530,210,308,586,243
65,3385,500,313,200,204,212,201,200,200,277,520,214,308,598,248
66,3363,498,312,200,200,206,203,202,200,271,530,210,308,586,243
66,3391,504,314,200,200,206,205,206,200,277,546,210,311,586,241
67,3363,498,312,200,200,206,203,202,200,271,530,210,308,586,243
67,3398,508,314,200,200,210,209,200,200,266,557,212,305,598,238
68,3363,498,312,200,200,206,203,202,200,271,530,210,308,586,243
68,3365,498,313,200,200,210,203,206,200,266,546,205,308,568,248
69,3363,498,312,200,200,206,203,202,200,271,530,210,308,586,243
69,3339,493,311,202,204,203,203,200,200,274,514,205,302,586,241
70,3367,498,313,202,204,203,203,202,200,271,530,210,308,586,243
70,3347,496,310,200,201,200,200,200,200,271,525,205,314,586,241
71,3353,498,310,200,201,200,200,200,200,271,530,205,314,586,241
71,3368,499,311,202,201,200,200,200,206,277,520,201,314,598,246
72,3353,498,310,200,201,200,200,200,200,271,530,205,314,586,241
72,3354,495,311,200,205,200,200,200,206,277,514,201,321,586,241
73,3353,498,310,200,201,200,200,200,200,271,530,205,314,586,241
73,3390,505,312,200,200,204,200,200,206,268,536,209,321,598,246
74,3353,498,310,200,201,200,200,200,200,271,530,205,314,586,241
74,3362,499,312,200,205,200,204,200,200,271,536,203,308,586,246
75,3358,499,311,200,201,200,200,200,200,271,536,205,314,586,241
75,3380,505,312,200,205,202,200,200,200,268,530,203,311,615,241
76,3358,499,311,200,201,200,200,200,200,271,536,205,314,586,241
76,3348,497,309,200,200,200,200,200,200,274,520,201,321,592,238
77,3356,499,310,200,200,200,200,200,200,271,536,205,314,586,241
77,3348,494,311,200,200,200,204,206,200,277,520,207,311,580,241
78,3356,499,310,200,200,200,200,200,200,271,536,205,314,586,241
78,3348,497,311,200,204,204,200,200,200,266,525,207,311,592,236
79,3364,499,312,200,204,204,200,200,200,271,536,205,314,586,241
79,3428,514,315,200,204,201,206,200,204,271,557,205,321,609,246
80,3364,499,312,200,204,204,200,200,200,271,536,205,314,586,241
80,3376,502,313,200,204,200,200,200,204,268,562,207,321,568,238
81,3364,499,312,200,204,204,200,200,200,271,536,205,314,586,241
81,3390,504,313,206,200,208,200,200,204,274,525,209,308,609,243
82,3364,499,312,200,204,204,200,200,200,271,536,205,314,586,241
82,3339,494,310,202,200,201,202,200,200,271,530,203,308,574,243
83,3360,499,311,202,200,201,200,200,200,271,536,205,314,586,241
83,3373,500,313,202,200,201,200,204,200,277,546,209,318,574,238
84,3360,499,311,202,200,201,200,200,200,271,536,205,314,586,241
84,3402,510,313,200,202,205,200,200,200,268,557,209,314,604,238
85,3360,499,311,202,200,201,200,200,200,271,536,205,314,586,241
85,3346,497,310,204,200,200,200,200,200,277,520,201,308,598,236
86,3350,498,310,204,200,200,200,200,200,277,536,201,308,586,236
86,3395,508,313,200,202,200,200,200,206,282,546,200,314,604,238
87,3350,498,310,204,200,200,200,200,200,277,536,201,308,586,236
87,3375,504,313,200,200,200,204,204,200,274,562,200,308,580,241
88,3350,498,310,204,200,200,200,200,200,277,536,201,308,586,236
88,3397,510,313,206,200,200,206,200,200,274,557,203,305,609,234
89,3350,498,310,204,200,200,200,200,200,277,536,201,308,586,236
89,3353,498,311,200,200,206,204,200,200,274,536,200,305,586,241
90,3350,498,310,204,200,200,200,200,200,277,536,201,308,586,236
90,3366,503,311,200,200,200,200,200,200,277,557,200,314,580,236
91,3350,498,310,204,200,200,200,200,200,277,536,201,308,586,236
91,3348,498,311,200,200,200,200,206,200,271,525,205,302,598,238
92,3348,498,311,200,200,200,200,206,200,271,525,205,302,598,238
92,3329,493,309,200,200,200,206,200,200,266,525,209,305,580,236
93,3348,498,311,200,200,200,200,206,200,271,525,205,302,598,238
93,3344,498,310,200,200,200,206,200,202,266,530,207,299,598,234
94,3344,498,310,200,200,200,206,200,202,266,530,207,299,598,234
94,3341,498,310,204,200,200,206,202,200,263,514,211,293,616,229
95,3339,497,311,204,200,200,206,202,200,263,530,211,293,598,229
95,3387,508,314,200,204,202,208,200,204,268,541,216,296,622,224
96,3339,497,311,204,200,200,206,202,200,263,530,211,293,598,229
96,3388,511,314,201,202,200,212,200,200,260,557,209,290,622,231
97,3339,497,311,204,200,200,206,202,200,263,530,211,293,598,229
97,3341,500,310,201,200,200,208,200,202,258,530,211,287,616,224
98,3343,501,311,204,200,200,208,200,202,258,530,211,287,616,224
98,3312,497,309,200,204,200,201,200,200,245,536,209,287,610,218
99,3312,497,309,200,204,200,201,200,200,245,536,209,287,610,218
99,3298,491,309,204,204,206,200,200,200,240,525,214,293,597,213
100,3312,497,309,200,204,200,201,200,200,245,536,209,287,610,218
100,3366,509,313,200,204,206,201,202,200,250,546,214,287,634,220
101,3312,497,309,200,204,200,201,200,200,245,536,209,287,610,218
101,3322,501,311,200,206,200,200,200,200,247,557,209,281,603,215
102,3322,501,311,200,204,200,201,200,200,247,557,209,281,603,215
102,3305,496,311,202,208,200,201,200,200,240,551,203,290,597,209
103,3328,501,312,202,208,200,201,200,200,247,557,209,281,603,215
103,3328,499,313,200,212,200,200,200,206,252,551,200,287,597,220
104,3328,501,312,202,208,200,201,200,200,247,557,209,281,603,215
104,3331,502,313,200,212,200,200,200,200,250,563,214,270,603,218
105,3328,501,312,202,208,200,201,200,200,247,557,209,281,603,215
105,3303,497,310,200,205,202,203,202,200,240,546,200,278,609,213
106,3308,498,311,200,205,202,203,202,200,240,557,200,278,603,213
106,3353,511,315,200,208,200,200,206,204,242,585,200,273,622,211
107,3308,498,311,200,205,202,203,202,200,240,557,200,278,603,213
107,3348,508,314,200,210,204,200,204,200,235,568,204,281,622,218
108,3308,498,311,200,205,202,203,202,200,240,557,200,278,603,213
108,3299,496,310,200,201,204,200,204,202,242,551,200,278,597,215
109,3306,498,310,200,201,204,203,202,200,240,557,200,278,603,213
109,3327,502,312,202,201,200,209,200,204,242,579,200,281,591,213
110,3306,498,310,200,201,204,203,202,200,240,557,200,278,603,213
110,3351,508,315,206,203,201,203,208,206,237,574,200,276,622,211
111,3306,498,310,200,201,204,203,202,200,240,557,200,278,603,213
111,3324,498,315,204,205,210,205,206,204,235,568,200,278,591,213
112,3306,498,310,200,201,204,203,202,200,240,557,200,278,603,213
112,3332,506,313,200,200,200,207,208,200,235,585,204,276,603,211
113,3306,498,310,200,201,204,203,202,200,240,557,200,278,603,213
113,3306,499,310,206,203,206,200,200,200,237,557,200,273,609,211
114,3306,499,310,206,203,206,200,200,200,237,557,200,273,609,211
114,3314,497,312,212,203,210,200,200,200,242,551,200,276,603,213
115,3306,499,310,206,203,206,200,200,200,237,557,200,273,609,211
115,3306,502,310,200,201,200,202,202,200,235,574,202,276,603,209
116,3317,502,311,206,203,206,200,200,200,235,574,202,276,603,209
116,3304,502,311,201,200,200,202,204,204,240,574,200,265,609,203
117,3304,502,311,201,200,200,202,204,204,240,574,200,265,609,203
117,3324,504,313,201,204,200,206,204,200,247,579,204,273,603,200
118,3304,502,311,201,200,200,202,204,204,240,574,200,265,609,203
118,3281,496,310,200,200,200,200,204,206,240,562,200,265,603,200
119,3299,501,310,200,200,200,200,204,206,240,574,200,265,609,200
119,3289,496,310,200,202,200,200,206,200,244,562,200,270,597,206
120,3297,501,311,200,202,200,200,206,200,240,574,200,265,609,200
120,3316,507,314,200,206,202,200,210,200,232,585,202,251,622,204
121,3297,501,311,200,202,200,200,206,200,240,574,200,265,609,200
121,3314,506,313,200,202,204,200,208,200,247,585,200,251,615,200
122,3297,501,311,200,202,200,200,206,200,240,574,200,265,609,200
122,3328,504,314,202,204,202,202,208,206,242,568,204,273,615,200
123,3297,501,311,200,202,200,200,206,200,240,574,200,265,609,200
123,3292,497,312,204,200,200,200,210,206,232,562,200,273,603,200
124,3299,501,311,204,200,200,200,206,200,240,574,200,265,609,200
124,3310,503,311,200,204,206,200,201,200,235,568,200,273,622,200
125,3299,501,311,204,200,200,200,206,200,240,574,200,265,609,200
125,3279,494,311,210,200,200,200,206,204,240,562,202,257,597,200
126,3305,501,312,210,200,200,200,206,200,240,574,200,265,609,200
126,3298,500,312,212,200,200,200,210,200,235,568,200,254,615,202
127,3298,500,312,212,200,200,200,210,200,235,568,200,254,615,202
127,3311,502,315,216,200,204,200,214,202,237,568,200,246,622,200
128,3298,500,312,212,200,200,200,210,200,235,568,200,254,615,202
128,3308,506,313,207,200,200,200,210,200,237,579,200,244,628,200
129,3298,500,312,212,200,200,200,210,200,235,568,200,254,615,202
129,3323,504,314,216,202,200,206,208,200,237,574,200,257,622,200
130,3298,500,312,212,200,200,200,210,200,235,568,200,254,615,202
130,3306,501,313,212,200,200,206,205,206,242,574,200,244,609,206
131,3298,500,312,212,200,200,200,210,200,235,568,200,254,615,202
131,3324,504,315,214,202,204,206,210,200,225,568,206,257,628,202
132,3298,500,312,212,200,200,200,210,200,235,568,200,254,615,202
132,3315,502,314,214,200,200,206,210,202,230,574,206,251,615,204
133,3298,500,312,212,200,200,200,210,200,235,568,200,254,615,202
133,3302,503,311,201,200,202,202,205,202,223,579,204,259,615,206
134,3298,500,312,212,200,200,200,210,200,235,568,200,254,615,202
134,3306,501,314,218,200,206,200,210,200,237,574,200,244,615,200
135,3298,500,312,212,200,200,200,210,200,235,568,200,254,615,202
135,3302,504,312,205,202,200,200,210,200,232,574,200,249,628,200
136,3298,500,312,212,200,200,200,210,200,235,568,200,254,615,202
136,3309,503,313,212,200,200,204,212,202,225,568,200,254,628,202
137,3298,500,312,212,200,200,200,210,200,235,568,200,254,615,202
137,3290,497,312,218,200,200,200,208,200,240,557,204,246,615,200
138,3302,500,312,218,200,200,200,208,200,235,568,200,254,615,202
138,3304,499,312,216,200,200,200,205,200,232,562,206,262,609,208
139,3302,500,312,218,200,200,200,208,200,235,568,200,254,615,202
139,3285,496,312,209,200,200,206,212,200,230,557,200,259,609,200
140,3304,501,313,209,200,200,206,212,200,235,568,200,254,615,202
140,3322,506,314,216,200,200,201,210,200,240,579,204,241,628,200
141,3304,501,313,209,200,200,206,212,200,235,568,200,254,615,202
141,3304,501,314,205,200,206,203,214,200,230,579,200,254,609,200
142,3304,501,313,209,200,200,206,212,200,235,568,200,254,615,202
142,3305,502,315,216,200,200,206,216,200,223,579,200,241,615,206
143,3304,501,313,209,200,200,206,212,200,235,568,200,254,615,202
143,3314,503,314,211,200,206,206,207,206,225,574,200,254,622,200
144,3304,501,313,209,200,200,206,212,200,235,568,200,254,615,202
144,3308,501,313,211,200,200,201,212,200,235,562,200,262,622,200
145,3304,501,313,209,200,200,206,212,200,235,568,200,254,615,202
145,3303,502,313,200,204,206,201,210,200,242,562,204,244,628,200
146,3303,502,313,200,204,206,201,210,200,242,562,204,244,628,200
146,3293,501,312,200,204,201,200,205,200,244,574,200,246,615,200
147,3293,501,312,200,204,201,200,205,200,244,574,200,246,615,200
147,3293,500,311,204,200,205,200,207,200,244,562,200,246,621,200
148,3293,501,312,200,204,201,200,205,200,244,574,200,246,615,200
148,3332,509,316,202,208,205,200,207,202,249,585,204,239,628,200
149,3293,501,312,200,204,201,200,205,200,244,574,200,246,615,200
149,3290,500,312,202,206,200,200,207,200,235,568,200,249,615,206
150,3290,500,312,202,206,200,200,207,200,235,568,200,249,615,206
150,3284,498,312,200,201,200,200,212,206,235,562,200,239,615,212
